"","Country","Year","MMRatio","SKpersonnel","lower_bound","upper_bound","income"
"3132","Samoa","1990",156,NA,84,279,"3090"
"3142","Samoa","2000",93,NA,48,181,"3080"
"3169","Saudi Arabia","1990",46,NA,32,67,"24390"
"3179","Saudi Arabia","2000",23,NA,16,34,"29490"
"3192","Saudi Arabia","2013",NA,98,NA,NA,"53780"
"3193","Senegal","1990",540,NA,425,688,"1160"
"3203","Senegal","2000",488,NA,382,626,"1490"
"3215","Senegal","2012",NA,59.1,NA,NA,"2180"
"3220","Serbia","2000",17,NA,13,21,"5790"
"3256","Seychelles","2012",NA,99,NA,NA,"22220"
"3258","Sierra Leone","1990",2630,NA,1780,3640,"770"
"3268","Sierra Leone","2000",2650,NA,1980,3460,"770"
"3281","Sierra Leone","2013",NA,59.7,NA,NA,"1750"
"3282","Singapore","1990",12,NA,10,15,"21930"
"3292","Singapore","2000",18,NA,15,22,"40610"
"3306","Slovakia","1990",11,NA,9,14,"7680"
"3316","Slovakia","2000",8,NA,7,9,"10960"
"3324","Slovakia","2008",NA,99.5,NA,NA,"22840"
"3338","Slovenia","2000",12,NA,10,15,"17590"
"3350","Slovenia","2012",NA,99.8,NA,NA,"27610"
"3352","Solomon Islands","1990",364,NA,241,550,"790"
"3362","Solomon Islands","2000",214,NA,146,321,"1360"
"3368","Solomon Islands","2006",NA,85.5,NA,NA,"1540"
"3376","South Africa","1990",108,NA,74,159,"6190"
"3386","South Africa","2000",85,NA,83,87,"7370"
"3394","South Africa","2008",NA,94.3,NA,NA,"10960"
"3402","South Sudan","2010",NA,17.2,NA,NA,"2600"
"3406","Spain","1990",6,NA,6,7,"13200"
"3416","Spain","2000",5,NA,5,6,"21160"
"3430","Sri Lanka","1990",75,NA,65,90,"2150"
"3440","Sri Lanka","2000",57,NA,52,63,"3850"
"3446","Sri Lanka","2006",NA,98.6,NA,NA,"5640"
"3454","Sudan","1990",744,NA,529,1050,"1110"
"3464","Sudan","2000",544,NA,410,729,"1790"
"3474","Sudan","2010",NA,19.9,NA,NA,"2970"
"3478","Suriname","1990",127,NA,104,155,"6700"
"3487","Suriname","2000",259,NA,219,312,"7810"
"3497","Suriname","2010",NA,90,NA,NA,"13730"
"3501","Swaziland","1990",635,NA,390,995,"3660"
"3511","Swaziland","2000",586,NA,403,846,"4730"
"3525","Sweden","1990",8,NA,7,9,"19010"
"3535","Sweden","2000",5,NA,5,6,"27750"
"3549","Switzerland","1990",8,NA,7,10,"25940"
"3559","Switzerland","2000",7,NA,6,8,"34890"
"3573","Tajikistan","1990",107,NA,93,126,"2350"
"3583","Tajikistan","2000",68,NA,58,80,"900"
"3595","Tajikistan","2012",NA,87.4,NA,NA,"2340"
"3597","Thailand","1990",40,NA,34,48,"4070"
"3607","Thailand","2000",25,NA,22,28,"6980"
"3619","Thailand","2012",NA,99.6,NA,NA,"13420"
"3621","The former Yugoslav republic of Macedonia","1990",14,NA,11,18,"5220"
"3631","The former Yugoslav republic of Macedonia","2000",12,NA,10,14,"5710"
"3645","Timor-Leste","2000",694,NA,517,925,"1640"
"3654","Timor-Leste","2009",NA,29.3,NA,NA,"5100"
"3659","Togo","1990",568,NA,430,759,"860"
"3669","Togo","2000",491,NA,367,649,"1010"
"3682","Togo","2013",NA,44.6,NA,NA,"1180"
"3683","Tonga","1990",75,NA,41,132,"2370"
"3693","Tonga","2000",97,NA,50,190,"3700"
"3705","Tonga","2012",NA,95.5,NA,NA,"5370"
"3707","Trinidad and Tobago","1990",90,NA,80,103,"8040"
"3717","Trinidad and Tobago","2000",62,NA,54,70,"12980"
"3731","Tunisia","1990",131,NA,96,175,"3420"
"3741","Tunisia","2000",84,NA,62,115,"5620"
"3752","Tunisia","2011",NA,73.6,NA,NA,"9720"
"3755","Turkey","1990",97,NA,63,149,"4360"
"3765","Turkey","2000",79,NA,59,108,"9180"
"3778","Turkey","2013",NA,97.4,NA,NA,"18760"
"3786","Turkmenistan","2000",59,NA,41,80,"3990"
"3791","Turkmenistan","2005",NA,99.5,NA,NA,"5400"
"3806","Tuvalu","2007",NA,93.1,NA,NA,"5430"
"3813","Uganda","1990",687,NA,544,877,"410"
"3823","Uganda","2000",620,NA,503,766,"690"
"3834","Uganda","2011",NA,58,NA,NA,"1310"
"3837","Ukraine","1990",46,NA,41,52,"6960"
"3847","Ukraine","2000",34,NA,30,39,"3710"
"3859","Ukraine","2012",NA,99,NA,NA,"8670"
"3870","United Arab Emirates","2010",NA,100,NA,NA,"56260"
"3873","United Kingdom of Great Britain and Northern Ireland","1990",10,NA,9,11,"15770"
"3883","United Kingdom of Great Britain and Northern Ireland","2000",12,NA,11,12,"26280"
"3897","United Republic of Tanzania","1990",997,NA,775,1280,"640"
"3907","United Republic of Tanzania","2000",842,NA,671,1050,"820"
"3917","United Republic of Tanzania","2010",NA,48.9,NA,NA,"1500"
"3921","United States of America","1990",12,NA,11,13,"23730"
"3931","United States of America","2000",12,NA,12,12,"36930"
"3945","Uruguay","1990",37,NA,32,44,"6000"
"3955","Uruguay","2000",31,NA,26,36,"9960"
"3968","Uruguay","2013",NA,98.2,NA,NA,"18930"
"3977","Uzbekistan","2000",34,NA,30,39,"1940"
"3983","Uzbekistan","2006",NA,99.6,NA,NA,"2950"
"3991","Vanuatu","1990",225,NA,126,406,"1680"
"4001","Vanuatu","2000",144,NA,73,276,"2120"
"4014","Vanuatu","2013",NA,89.4,NA,NA,"2840"
"4015","Venezuela (Bolivarian Republic of)","1990",94,NA,83,105,"9260"
"4025","Venezuela (Bolivarian Republic of)","2000",90,NA,80,100,"11340"
"4039","Viet Nam","1990",139,NA,92,186,"910"
"4049","Viet Nam","2000",81,NA,61,102,"2070"
"4062","Viet Nam","2013",NA,93.8,NA,NA,"5030"
"4063","Yemen","1990",547,NA,389,736,"2210"
"4073","Yemen","2000",440,NA,337,573,"2930"
"4086","Yemen","2013",NA,43,NA,NA,"3820"
"4087","Zambia","1990",577,NA,449,757,"1500"
"4097","Zambia","2000",541,NA,441,666,"1590"
"4110","Zambia","2013",NA,64.2,NA,NA,"3070"
"4111","Zimbabwe","1990",440,NA,351,523,"1590"
"4121","Zimbabwe","2000",590,NA,534,664,"1890"
